
Initialize MPU6050

 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3440 / -1783 / 1206

x,y,z
9.57,-1.31,2.88,
9.54,-1.34,2.93,
9.57,-1.34,2.96,
9.52,-1.33,2.88,
9.60,-1.34,2.89,
9.51,-1.31,2.94,
9.56,-1.39,2.90,
9.56,-1.34,2.89,
9.52,-1.32,2.93,
9.62,-1.34,2.92,
9.57,-1.30,2.89,
9.58,-1.34,2.85,
9.52,-1.31,2.87,
9.54,-1.38,2.91,
9.54,-1.31,2.89,
9.56,-1.31,2.98,
9.61,-1.26,2.94,
9.56,-1.36,2.95,
9.58,-1.32,2.82,
9.56,-1.33,2.95,
9.56,-1.38,2.97,
9.59,-1.34,2.88,
9.53,-1.30,2.95,
9.56,-1.33,2.92,
9.56,-1.32,2.96,
9.56,-1.30,2.88,
9.58,-1.32,2.90,
9.54,-1.32,2.95,
9.51,-1.31,2.92,
9.62,-1.29,2.89,
9.55,-1.31,2.93,
9.56,-1.28,2.92,
9.56,-1.36,2.91,
9.58,-1.33,2.88,
9.54,-1.35,2.91,
9.58,-1.35,2.96,
9.57,-1.30,2.82,
9.51,-1.34,2.90,
9.56,-1.28,2.97,
9.56,-1.34,2.91,
9.49,-1.35,2.96,
9.58,-1.33,2.94,
9.58,-1.33,2.94,
9.50,-1.24,3.04,
9.58,-1.34,2.86,
9.59,-1.34,2.96,
9.55,-1.35,2.93,
9.58,-1.33,2.96,
9.54,-1.33,2.90,
9.59,-1.32,2.89,
9.59,-1.38,2.88,
9.52,-1.28,2.88,
9.51,-1.31,2.95,
9.57,-1.36,2.94,
9.55,-1.31,3.06,
9.56,-1.32,2.99,
9.52,-1.29,2.93,
9.58,-1.31,2.96,
9.50,-1.30,2.89,
9.60,-1.36,2.95,
9.58,-1.33,2.96,
9.60,-1.36,2.96,
9.54,-1.27,2.93,
9.57,-1.26,2.89,
9.61,-1.28,2.89,
9.55,-1.29,2.93,
9.59,-1.25,2.94,
9.53,-1.31,2.84,
9.55,-1.32,2.94,
9.57,-1.28,2.93,
9.54,-1.30,2.89,
9.55,-1.35,2.87,
9.57,-1.36,2.89,
9.57,-1.31,2.79,
9.60,-1.34,2.93,
9.57,-1.34,2.94,
9.59,-1.30,2.90,
9.59,-1.30,2.88,
9.53,-1.34,2.90,
9.60,-1.37,2.87,
9.57,-1.34,2.92,
9.59,-1.35,2.88,
9.58,-1.31,2.96,
9.53,-1.28,2.92,
9.54,-1.33,2.86,
9.57,-1.32,2.96,
9.57,-1.40,2.95,
9.62,-1.30,2.93,
9.57,-1.31,2.89,
9.58,-1.31,2.87,
9.54,-1.32,2.94,
9.59,-1.29,2.90,
9.60,-1.32,2.99,
9.54,-1.34,2.88,
9.56,-1.37,2.93,
9.56,-1.35,2.94,
9.58,-1.31,2.88,
9.51,-1.32,2.95,
9.59,-1.33,2.99,
9.59,-1.34,2.92,
9.56,-1.33,3.00,
9.56,-1.36,2.88,
9.49,-1.34,2.90,
9.54,-1.30,2.98,
9.53,-1.35,2.98,
9.54,-1.32,2.94,
9.64,-1.35,2.96,
9.60,-1.34,2.85,
9.52,-1.41,2.94,
9.60,-1.39,2.97,
9.58,-1.26,2.95,
9.59,-1.33,2.85,
9.56,-1.34,2.84,
9.58,-1.31,2.97,
9.53,-1.34,2.93,
9.56,-1.30,2.99,
9.53,-1.37,2.87,
9.56,-1.32,2.96,
9.58,-1.27,2.83,
9.54,-1.37,2.89,
9.60,-1.27,2.95,
9.57,-1.28,2.90,
9.55,-1.35,2.90,
9.63,-1.35,2.89,
9.48,-1.32,2.84,
9.58,-1.35,2.97,
9.56,-1.34,2.93,
9.54,-1.36,2.85,
9.59,-1.38,3.00,
9.53,-1.28,2.96,
9.58,-1.25,2.83,
9.56,-1.30,2.93,
9.55,-1.29,2.88,
9.52,-1.32,2.94,
9.60,-1.30,2.94,
9.57,-1.28,2.89,
9.58,-1.34,2.94,
9.53,-1.27,2.84,
9.53,-1.37,2.83,
9.52,-1.32,2.97,
9.52,-1.31,2.88,
9.55,-1.26,2.87,
9.59,-1.37,2.89,
9.53,-1.30,2.90,
9.60,-1.35,2.95,
9.54,-1.27,2.86,
9.56,-1.35,2.94,
9.53,-1.27,2.94,
9.51,-1.34,2.90,
9.55,-1.35,2.90,
9.49,-1.37,2.88,
9.63,-1.29,2.98,
9.55,-1.28,2.95,
9.52,-1.28,2.94,
9.52,-1.29,2.83,
9.54,-1.30,2.88,
9.60,-1.34,2.93,
9.54,-1.28,2.91,
9.56,-1.29,2.91,
9.57,-1.35,2.90,
9.55,-1.33,2.91,
9.57,-1.31,2.88,
9.58,-1.38,2.83,
9.55,-1.30,2.97,
9.55,-1.33,2.97,
9.51,-1.29,2.96,
9.58,-1.31,2.94,
9.53,-1.36,2.93,
9.57,-1.36,2.82,
9.57,-1.32,2.97,
9.57,-1.36,2.88,
9.59,-1.32,2.94,
9.57,-1.33,2.89,
9.50,-1.33,2.89,
9.57,-1.22,2.90,
9.55,-1.33,2.89,
9.54,-1.33,2.85,
9.57,-1.27,2.92,
9.59,-1.28,2.93,
9.52,-1.31,2.90,
9.55,-1.31,2.92,
9.53,-1.35,2.92,
9.57,-1.23,2.90,
9.59,-1.40,2.94,
9.60,-1.30,3.03,
9.58,-1.27,2.93,
9.53,-1.29,2.94,
9.53,-1.24,2.89,
9.55,-1.34,2.99,
9.58,-1.30,2.84,
9.54,-1.34,2.84,
9.58,-1.33,2.87,
9.60,-1.31,3.00,
9.56,-1.35,2.87,
9.49,-1.33,2.94,
9.57,-1.30,2.95,
9.60,-1.29,2.81,
9.63,-1.40,2.91,
9.58,-1.30,2.86,
9.52,-1.26,2.89,
9.55,-1.31,2.96,
9.54,-1.34,2.90,
9.51,-1.32,2.96,
9.55,-1.34,2.95,
9.54,-1.34,2.96,
9.54,-1.33,2.89,
9.54,-1.28,2.97,
9.56,-1.36,2.87,
9.54,-1.30,2.98,
9.59,-1.31,2.95,
9.56,-1.31,2.92,
9.58,-1.38,2.90,
9.58,-1.31,2.88,
9.58,-1.30,2.90,
9.49,-1.33,2.93,
9.57,-1.30,3.01,
9.58,-1.32,2.86,
9.53,-1.35,2.92,
9.62,-1.27,2.92,
9.57,-1.30,2.95,
9.55,-1.27,2.92,
9.64,-1.35,2.92,
9.55,-1.35,2.93,
9.54,-1.36,2.80,
9.53,-1.30,2.86,
9.58,-1.33,2.98,
9.57,-1.36,2.92,
9.55,-1.32,2.93,
9.54,-1.33,2.92,
9.57,-1.34,2.90,
9.54,-1.34,3.03,
9.54,-1.34,2.95,
9.58,-1.31,2.90,
9.57,-1.31,2.93,
9.60,-1.31,2.94,
9.52,-1.31,2.96,
9.53,-1.34,2.96,
9.56,-1.32,2.94,
9.58,-1.27,2.84,
9.59,-1.33,2.93,
9.51,-1.31,2.95,
9.61,-1.34,2.93,
9.59,-1.32,2.93,
9.62,-1.33,2.85,
9.60,-1.31,2.89,
9.57,-1.30,2.97,
9.59,-1.27,2.93,
9.54,-1.29,2.92,
9.52,-1.33,2.94,
9.57,-1.36,2.94,
9.62,-1.34,2.90,
9.59,-1.29,2.90,
9.53,-1.34,2.90,
9.59,-1.32,2.94,
9.52,-1.29,2.87,
9.54,-1.27,2.89,
9.57,-1.32,2.93,
9.57,-1.33,2.98,
9.56,-1.30,3.01,
9.60,-1.33,2.90,
9.58,-1.27,2.89,
9.61,-1.35,2.95,
9.51,-1.33,2.96,
9.55,-1.28,2.93,
9.61,-1.33,2.90,
9.57,-1.34,2.91,
9.57,-1.32,3.01,
9.55,-1.33,2.93,
9.54,-1.36,2.91,
9.59,-1.32,2.96,
9.60,-1.39,3.01,
9.54,-1.33,2.92,
9.55,-1.32,2.92,
9.63,-1.31,2.93,
9.85,-1.27,2.94,
9.72,-1.35,2.76,
9.28,-1.28,3.11,
9.20,-1.43,3.17,
9.40,-1.34,2.87,
9.49,-1.33,3.07,
9.71,-1.31,2.81,
9.78,-1.33,2.88,
9.61,-1.30,2.98,
9.65,-1.23,2.79,
9.49,-1.30,2.99,
9.50,-1.34,2.94,
9.40,-1.34,3.05,
9.52,-1.42,2.97,
9.55,-1.32,2.94,
9.54,-1.26,2.97,
9.82,-1.14,3.01,
9.72,-1.34,2.69,
9.48,-1.26,3.16,
9.51,-1.40,2.68,
9.38,-1.36,2.95,
9.47,-1.40,2.75,
9.40,-1.26,2.99,
9.56,-1.32,2.86,
9.65,-1.34,2.95,
9.66,-1.34,2.97,
9.70,-1.31,2.88,
9.61,-1.29,2.87,
9.55,-1.34,2.94,
9.59,-1.34,2.91,
9.52,-1.35,2.90,
9.52,-1.28,2.87,
9.50,-1.35,2.88,
9.54,-1.34,2.94,
9.62,-1.35,2.97,
9.56,-1.31,2.99,
9.54,-1.35,2.90,
9.62,-1.26,2.97,
9.57,-1.34,2.95,
9.55,-1.35,2.89,
9.56,-1.33,2.92,
9.52,-1.37,2.87,
9.56,-1.30,2.91,
9.57,-1.32,2.83,
9.54,-1.31,2.93,
9.55,-1.31,2.93,
9.60,-1.30,2.92,
9.52,-1.35,2.98,
9.55,-1.35,2.88,
9.58,-1.33,2.94,
9.58,-1.31,2.94,
9.56,-1.35,2.86,
9.50,-1.28,2.94,
9.58,-1.32,2.92,
9.57,-1.40,2.91,
9.53,-1.31,2.93,
9.59,-1.32,2.89,
9.63,-1.24,2.83,
9.61,-1.26,2.82,
9.62,-1.29,2.85,
9.54,-1.32,2.91,
9.55,-1.28,2.91,
9.54,-1.29,2.89,
9.57,-1.29,2.90,
9.54,-1.25,2.96,
9.52,-1.36,2.96,
9.46,-1.33,2.89,
9.56,-1.30,2.97,
9.57,-1.31,2.91,
9.58,-1.28,2.86,
9.58,-1.27,2.98,
9.52,-1.34,2.91,
9.58,-1.31,2.85,
9.58,-1.32,2.92,
9.53,-1.34,2.97,
9.54,-1.36,2.88,
9.57,-1.32,2.91,
9.55,-1.32,3.01,
9.59,-1.37,2.92,
9.55,-1.35,2.95,
9.54,-1.31,2.91,
9.58,-1.30,2.96,
9.60,-1.29,2.98,
9.54,-1.31,2.90,
9.53,-1.26,2.96,
9.57,-1.32,2.97,
9.56,-1.32,2.86,
9.57,-1.34,2.92,
9.63,-1.32,2.92,
9.56,-1.26,2.88,
9.60,-1.28,2.94,
9.61,-1.28,2.91,
9.54,-1.35,2.86,
9.53,-1.35,2.95,
9.59,-1.29,2.87,
9.52,-1.29,2.90,
9.56,-1.41,2.83,
9.58,-1.34,2.94,
9.55,-1.32,2.96,
9.56,-1.28,2.88,
9.59,-1.29,2.92,
9.58,-1.29,2.93,
9.58,-1.31,2.93,
9.60,-1.27,2.99,
9.52,-1.35,2.93,
9.57,-1.32,2.89,
9.49,-1.31,2.92,
9.54,-1.27,2.91,
9.54,-1.34,2.91,
9.56,-1.36,2.96,
9.62,-1.36,2.91,
9.57,-1.32,2.91,
8.48,-1.92,-2.98,
8.97,-0.97,4.27,
8.78,-1.35,2.49,
9.41,-1.09,3.09,
11.33,-1.35,2.89,
11.87,-1.25,3.48,
9.59,-1.09,4.11,
8.04,-1.11,3.96,
7.44,-0.87,4.02,
8.81,-1.24,3.87,
9.80,-1.52,4.27,
10.19,-1.32,4.31,
9.19,-1.90,5.22,
6.55,-1.09,4.76,
7.47,-1.40,4.62,
7.63,-1.47,6.09,
8.65,-1.56,5.29,
8.92,-1.68,5.11,
8.05,-1.89,5.71,
6.89,-1.76,5.86,
6.89,-1.66,6.37,
6.64,-1.56,6.30,
7.09,-1.51,6.10,
7.29,-1.56,6.47,
5.39,-1.53,6.92,
5.50,-1.48,6.47,
4.94,-1.16,7.43,
5.01,-1.32,7.74,
5.72,-1.31,7.78,
5.57,-1.80,8.09,
3.56,-1.59,7.85,
4.01,-1.59,7.08,
3.91,-1.60,7.95,
4.65,-1.61,7.96,
5.44,-1.57,7.91,
4.86,-1.57,8.23,
1.95,-1.49,8.43,
1.78,-1.48,7.97,
2.82,-1.43,7.86,
3.04,-1.30,8.44,
3.26,-1.24,8.72,
2.27,-1.22,9.74,
1.01,-1.43,9.39,
1.11,-1.45,8.32,
1.30,-1.54,8.11,
0.74,-1.34,8.32,
-0.06,-1.30,8.81,
1.67,-1.31,9.35,
1.84,-1.33,9.47,
1.34,-1.52,9.21,
0.46,-1.55,8.61,
0.49,-1.54,8.03,
0.01,-1.47,7.93,
1.67,-1.11,8.72,
1.40,-1.39,9.32,
1.32,-1.19,9.11,
1.73,-1.49,8.79,
1.48,-1.44,7.88,
1.00,-1.53,8.06,
1.78,-1.16,9.16,
2.09,-1.26,9.24,
1.73,-1.42,9.38,
1.41,-1.50,8.61,
0.99,-1.18,7.33,
1.74,-1.27,8.25,
1.57,-1.08,9.08,
1.20,-0.92,9.00,
1.81,-0.96,9.42,
2.23,-0.91,9.63,
0.45,-1.57,8.64,
0.22,-1.20,7.14,
1.06,-1.33,8.21,
1.80,-1.11,9.08,
1.77,-1.08,9.42,
1.87,-1.15,9.26,
1.29,-1.33,8.60,
0.52,-1.29,7.89,
0.86,-1.00,7.93,
1.31,-0.87,8.50,
1.65,-0.72,9.48,
1.77,-1.06,10.56,
1.24,-1.12,8.87,
1.59,-1.08,8.22,
0.94,-1.15,8.23,
1.53,-0.88,8.51,
1.40,-0.87,9.41,
0.90,-0.97,8.77,
1.24,-0.88,8.63,
1.56,-0.67,9.15,
1.41,-0.61,8.99,
1.36,-0.68,8.75,
1.01,-0.79,8.48,
1.01,-0.87,8.72,
0.67,-0.93,8.79,
1.04,-0.70,9.22,
0.95,-0.76,8.79,
0.86,-0.74,8.65,
0.77,-0.87,8.62,
0.93,-0.79,8.66,
1.09,-0.65,8.66,
0.85,-0.73,8.89,
0.75,-0.67,8.93,
0.56,-0.61,9.09,
0.43,-0.86,8.97,
0.66,-0.72,8.46,
-0.05,-0.95,7.98,
0.29,-0.79,9.18,
0.43,-0.60,9.30,
0.29,-0.74,9.05,
0.29,-0.67,9.19,
0.23,-0.82,8.84,
0.18,-0.89,8.42,
-0.11,-1.03,8.19,
0.31,-0.81,8.68,
0.10,-0.64,9.49,
0.05,-0.58,9.51,
0.22,-0.68,9.12,
0.39,-0.80,8.62,
0.20,-0.96,8.17,
-0.04,-1.05,8.34,
0.06,-0.82,8.86,
0.37,-0.63,9.04,
0.35,-0.58,9.09,
0.25,-0.74,8.89,
0.02,-0.86,8.68,
0.03,-0.98,8.66,
0.36,-0.85,8.51,
0.34,-0.84,8.67,
0.44,-0.68,8.97,
0.23,-0.70,9.01,
0.13,-0.72,8.87,
0.35,-0.68,8.88,
0.11,-0.78,8.73,
0.30,-0.73,8.84,
0.27,-0.78,8.49,
0.35,-0.71,8.67,
0.12,-0.68,8.91,
0.21,-0.59,9.13,
0.16,-0.72,8.75,
0.33,-0.71,8.75,
0.31,-0.75,8.64,
0.33,-0.89,8.58,
0.40,-0.66,8.95,
0.02,-0.82,8.83,
0.34,-0.68,9.05,
0.36,-0.66,9.00,
0.35,-0.80,8.72,
0.24,-0.83,8.59,
0.31,-0.75,8.89,
0.23,-0.77,8.75,
0.28,-0.66,8.84,
0.34,-0.66,9.06,
0.16,-0.79,8.85,
0.43,-0.79,8.65,
0.35,-0.89,8.38,
0.39,-0.81,8.66,
0.51,-0.70,8.93,
0.49,-0.76,8.84,
0.24,-0.63,9.04,
0.08,-0.80,8.88,
0.24,-0.91,8.49,
0.27,-0.86,8.71,
0.31,-0.89,8.65,
0.49,-0.69,8.76,
0.55,-0.60,9.13,
0.39,-0.73,8.80,
0.41,-0.71,8.78,
-0.06,-0.93,8.46,
0.27,-0.95,8.71,
0.09,-0.89,8.82,
0.48,-0.61,8.86,
0.57,-0.59,8.96,
0.37,-0.76,8.56,
0.34,-0.83,8.73,
0.31,-0.77,8.74,
0.32,-0.80,8.67,
0.15,-0.79,8.84,
0.15,-0.69,8.89,
0.60,-0.69,8.77,
0.37,-0.70,8.84,
0.24,-0.87,8.78,
0.38,-0.84,8.65,
0.29,-0.72,8.91,
0.51,-0.77,8.90,
0.38,-0.82,8.92,
0.16,-0.90,8.67,
0.28,-0.77,8.82,
0.30,-0.79,8.91,
0.51,-0.78,8.81,
0.21,-0.86,8.87,
0.30,-0.82,8.79,
0.36,-0.82,8.58,
0.53,-0.67,8.68,
0.48,-0.80,8.82,
0.57,-0.77,8.95,
0.40,-0.82,8.64,
0.40,-0.81,8.62,
0.24,-0.82,8.53,
0.41,-0.80,8.75,
0.41,-0.78,9.23,
0.51,-0.75,8.78,
0.49,-0.87,8.58,
0.38,-0.81,8.90,
0.31,-0.88,8.82,
0.34,-0.92,8.70,
0.50,-0.66,8.99,
0.47,-0.74,8.76,
0.22,-0.97,8.65,
0.44,-0.91,8.64,
0.40,-0.87,8.86,
0.38,-0.79,8.80,
0.49,-0.75,9.03,
0.39,-0.72,8.96,
0.42,-0.77,8.71,
0.42,-0.81,8.59,
0.16,-0.86,8.77,
0.38,-0.84,9.00,
0.46,-0.76,8.72,
0.52,-0.78,8.88,
0.35,-0.74,8.94,
0.60,-0.84,8.68,
0.37,-0.77,8.83,
0.36,-0.83,9.00,
0.24,-0.82,8.69,
0.58,-0.84,8.77,
0.62,-0.70,8.72,
0.44,-0.84,8.90,
0.40,-0.74,9.10,
0.40,-0.82,8.86,
0.43,-0.85,8.77,
0.20,-0.93,8.52,
0.39,-0.79,8.70,
0.39,-0.78,8.89,
0.57,-0.67,8.88,
0.50,-0.86,8.76,
0.43,-0.82,8.68,
0.31,-0.80,8.90,
0.38,-0.72,8.99,
0.36,-0.88,8.59,
0.27,-0.86,8.58,
0.56,-0.78,8.95,
0.42,-0.73,9.04,
0.39,-0.85,8.72,
0.38,-0.80,8.75,
0.35,-0.83,8.82,
0.37,-0.82,8.61,
0.54,-0.75,8.80,
0.38,-0.68,8.92,
0.53,-0.74,8.75,
0.36,-0.76,8.76,
0.48,-0.86,8.75,
0.41,-0.84,8.76,
0.27,-0.87,8.56,
0.43,-0.79,8.80,
0.60,-0.76,8.87,
0.46,-0.78,8.78,
0.22,-0.77,8.83,
0.30,-0.78,8.90,
0.28,-0.75,8.72,
0.46,-0.85,8.67,
0.40,-0.72,8.86,
0.37,-0.85,8.76,
0.35,-0.84,8.83,
0.49,-0.78,8.83,
0.31,-0.79,8.79,
0.42,-0.82,8.81,
0.27,-0.82,8.84,
0.38,-0.88,8.62,
0.37,-0.90,8.69,
0.40,-0.73,8.85,
0.43,-0.82,8.97,
0.41,-0.86,8.86,
0.39,-0.84,8.81,
0.13,-0.92,8.63,
0.56,-0.75,8.73,
0.36,-0.70,8.91,
0.32,-0.76,8.93,
0.50,-0.80,8.75,
0.50,-0.85,8.72,
0.37,-0.82,8.83,
0.31,-0.82,8.77,
0.44,-0.79,8.76,
0.46,-0.80,8.49,
0.33,-0.75,8.97,
0.32,-0.77,8.83,
0.38,-0.81,8.69,
0.37,-0.82,8.92,
0.53,-0.77,8.83,
0.16,-0.90,8.67,
0.22,-0.86,8.85,
0.34,-0.82,8.71,
0.28,-0.75,8.82,
0.48,-0.72,8.87,
0.29,-0.84,8.78,
0.34,-0.90,8.60,
0.31,-0.90,8.97,
0.33,-0.79,9.09,
0.35,-0.84,8.61,
0.22,-0.86,8.84,
0.43,-0.74,8.84,
0.36,-0.74,8.68,
0.45,-0.82,8.88,
0.49,-0.67,8.89,
0.41,-0.67,8.93,
0.40,-0.76,8.74,
0.29,-0.92,8.63,
0.35,-0.88,8.85,
0.28,-0.88,8.70,
0.53,-0.75,8.79,
0.26,-0.70,8.93,
0.28,-0.93,8.69,
0.23,-0.87,8.75,
0.36,-0.74,8.67,
0.44,-0.76,9.01,
0.40,-0.78,8.98,
0.47,-0.75,8.88,
0.36,-0.82,8.70,
0.38,-0.79,8.71,
0.36,-0.84,8.76,
0.42,-0.68,8.99,
0.32,-0.69,9.00,
0.46,-0.73,8.68,
0.36,-0.80,8.72,
0.45,-0.84,8.74,
0.38,-0.83,8.77,
0.44,-0.80,8.64,
0.37,-0.77,8.91,
0.44,-0.83,8.78,
0.38,-0.80,8.83,
0.44,-0.84,8.86,
0.33,-0.94,8.57,
0.27,-0.88,8.55,
0.36,-0.78,8.83,
0.53,-0.76,8.85,
0.37,-0.80,8.80,
0.33,-0.84,8.80,
0.36,-0.92,8.83,
0.48,-0.79,8.78,
0.31,-0.86,8.88,
0.38,-0.90,8.73,
0.63,-0.83,8.65,
0.31,-0.82,9.09,
0.48,-0.77,8.81,
0.47,-0.79,8.58,
0.43,-0.77,8.76,
0.45,-0.75,8.84,
0.45,-0.80,8.66,
0.36,-0.78,8.90,
0.50,-0.79,8.92,
0.64,-0.75,8.52,
0.35,-0.88,8.72,
0.52,-0.75,8.93,
0.49,-0.78,8.84,
0.35,-0.93,8.54,
0.33,-0.81,8.71,
0.42,-0.90,8.89,
0.46,-0.74,8.93,
0.56,-0.86,8.88,
0.38,-0.85,8.72,
0.33,-0.81,8.75,
0.48,-0.82,8.81,
0.38,-0.84,8.72,
0.55,-0.76,8.81,
0.57,-0.62,9.07,
0.48,-0.82,8.62,
0.28,-0.97,8.59,
0.41,-0.87,8.81,
0.56,-0.69,9.01,
0.47,-0.81,8.86,
0.42,-0.82,8.70,
0.54,-0.80,9.00,
0.38,-0.87,8.78,
0.54,-0.86,8.59,
0.65,-0.84,8.65,
0.55,-0.74,8.95,
0.62,-0.82,9.01,
0.57,-0.98,8.57,
0.47,-0.86,8.51,
0.40,-0.84,9.01,
0.51,-0.81,8.82,
0.64,-0.82,8.74,
0.49,-0.94,8.89,
0.66,-0.78,8.71,
0.39,-0.88,8.72,
0.62,-0.77,8.84,
0.47,-0.81,8.72,
0.61,-0.87,8.77,
0.53,-0.85,8.92,
0.27,-0.87,8.69,
0.53,-0.87,8.76,
0.41,-0.84,8.73,
0.30,-0.87,8.73,
0.51,-0.78,8.95,
0.56,-0.73,9.05,
0.76,-0.64,8.80,
0.60,-0.86,8.73,
0.64,-0.79,8.73,
0.08,-0.93,8.78,
0.66,-0.83,8.61,
0.41,-0.80,8.98,
0.56,-0.78,8.99,
0.56,-0.86,8.63,
0.41,-0.93,8.75,
0.69,-0.92,8.88,
0.57,-0.75,8.80,
0.55,-0.84,8.95,
0.16,-0.91,8.81,
0.62,-0.93,8.54,
0.48,-0.90,8.72,
0.67,-0.73,8.84,
0.54,-0.76,8.79,
0.58,-0.67,8.80,
0.46,-0.73,8.99,
0.52,-0.88,8.49,
0.37,-0.92,8.27,
0.69,-0.73,8.83,
0.72,-0.78,9.01,
0.78,-0.75,9.03,
0.26,-0.89,8.82,
0.34,-0.95,8.83,
0.43,-0.97,8.75,
0.31,-0.99,8.76,
0.39,-0.90,8.72,
0.54,-0.83,8.89,
0.53,-0.82,8.95,
0.62,-0.79,8.71,
0.34,-0.84,8.52,
0.40,-1.00,8.49,
0.50,-0.75,8.87,
0.42,-0.66,8.88,
0.38,-0.75,8.84,
0.49,-0.65,8.57,
0.49,-0.79,8.69,
0.34,-0.82,8.64,
0.22,-0.73,8.87,
0.38,-0.79,8.89,
0.53,-0.82,8.86,
0.23,-0.92,8.66,
0.33,-0.92,8.75,
0.45,-0.82,8.93,
0.36,-0.84,8.71,
0.30,-0.81,8.68,
0.38,-0.93,8.76,
0.36,-0.91,8.74,
0.41,-0.77,8.89,
0.36,-0.83,8.97,
0.56,-0.81,8.72,
0.40,-0.78,8.73,
0.34,-0.78,8.82,
0.38,-0.74,8.89,
0.32,-0.87,8.70,
0.09,-1.02,8.65,
0.27,-0.91,8.81,
0.42,-0.82,9.02,
0.50,-0.85,8.73,
0.44,-0.87,8.69,
0.35,-0.89,8.59,
0.09,-0.87,8.81,
0.33,-0.83,8.77,
0.23,-0.85,8.69,
0.50,-0.87,8.68,
0.39,-0.89,8.82,
0.34,-0.87,8.82,
0.40,-0.95,8.67,
0.33,-0.89,8.97,
0.62,-0.76,9.09,
0.13,-0.88,8.50,
0.21,-0.89,8.66,
0.37,-0.88,8.95,
0.53,-0.85,8.84,
0.38,-0.87,8.68,
0.37,-0.80,8.96,
0.39,-0.79,8.89,
0.33,-0.89,8.62,
0.32,-0.98,8.74,
0.40,-0.98,8.72,
0.29,-1.03,8.61,
0.50,-0.95,8.95,
0.37,-0.91,9.04,
0.48,-0.88,8.83,
0.25,-0.89,8.69,
0.14,-0.91,8.83,
0.20,-0.92,8.79,
0.29,-0.99,8.77,
0.36,-0.99,8.71,
0.40,-0.96,8.77,
0.09,-0.93,8.78,
0.32,-0.94,8.85,
0.25,-0.96,8.80,
0.37,-0.89,8.93,
0.37,-0.86,8.74,
0.26,-0.97,8.68,
0.29,-1.18,8.87,
0.00,-0.87,8.62,
0.42,-0.83,9.01,
0.41,-0.84,8.88,
0.26,-0.92,8.64,
0.19,-1.04,8.68,
0.25,-0.92,8.64,
0.26,-1.00,8.65,
0.31,-0.89,8.91,
0.45,-0.85,8.98,
0.33,-0.80,8.72,
0.38,-0.84,9.03,
0.21,-0.90,8.87,
0.07,-1.04,8.47,
0.43,-0.88,8.67,
0.36,-0.79,8.98,
0.43,-0.88,9.01,
0.34,-0.94,8.67,
0.14,-1.01,8.67,
0.11,-1.05,8.88,
0.41,-0.90,8.73,
0.40,-0.89,8.68,
0.36,-0.86,8.81,
0.39,-0.90,8.77,
0.32,-0.92,8.76,
0.36,-1.08,8.73,
0.45,-0.79,8.75,
0.39,-0.76,8.95,
0.48,-0.80,8.77,
0.35,-0.85,8.76,
0.36,-0.85,8.71,
0.21,-0.85,8.91,
0.25,-0.83,9.05,
0.33,-0.87,8.72,
0.28,-0.96,8.60,
0.38,-0.93,8.91,
0.49,-0.72,8.83,
0.43,-0.80,8.75,
0.57,-0.78,8.91,
0.40,-0.82,8.88,
0.30,-0.89,8.77,
0.34,-0.89,8.65,
0.23,-0.92,8.47,
0.47,-0.76,8.94,
0.45,-0.83,8.93,
0.41,-0.86,8.83,
0.14,-0.97,8.70,
0.33,-0.89,8.86,
0.40,-0.85,8.60,
0.40,-0.93,8.50,
0.36,-0.88,8.73,
0.55,-0.71,9.03,
0.61,-0.77,8.69,
0.40,-0.85,8.62,
0.49,-0.86,8.69,
0.34,-0.91,9.00,
0.27,-0.93,8.69,
0.39,-0.87,8.66,
0.27,-0.53,6.98,
0.49,-0.89,9.11,
0.22,-0.78,8.67,
0.47,-0.85,8.67,
0.26,-0.71,8.92,
0.32,-0.61,8.96,
0.33,-0.77,8.74,
0.20,-0.83,8.68,
0.48,-0.77,8.64,
0.44,-0.78,8.60,
0.60,-0.77,8.90,
0.31,-0.67,9.04,
0.26,-0.69,8.85,
0.33,-0.73,8.86,
0.33,-0.74,8.83,
0.29,-0.74,8.82,
0.26,-0.76,8.58,
0.36,-0.75,8.82,
0.42,-0.77,8.98,
0.25,-0.75,8.80,
0.07,-0.82,8.56,
0.32,-0.73,8.74,
0.36,-0.76,8.70,
0.32,-0.76,8.69,
0.36,-0.59,9.04,
0.30,-0.55,8.93,
0.43,-0.77,8.79,
0.27,-0.79,8.70,
0.43,-0.76,8.72,
0.42,-0.85,8.78,
0.31,-0.85,8.75,
0.20,-0.25,9.05,
0.58,-0.46,9.01,
0.70,-0.91,8.46,
0.43,-0.79,8.66,
0.48,-0.74,8.66,
0.51,-0.63,8.82,
0.42,-0.81,8.76,
0.31,-0.88,8.93,
0.34,-0.86,8.69,
0.35,-0.89,8.74,
0.27,-0.85,8.66,
0.40,-0.82,8.91,
0.41,-0.81,8.95,
0.28,-0.64,8.77,
0.42,-0.85,8.91,
0.68,-1.01,9.04,
0.40,-0.75,8.64,
0.39,-0.77,8.71,
0.34,-0.95,8.91,
0.20,-0.79,8.78,
0.33,-0.77,8.95,
0.32,-0.84,8.78,
0.24,-0.80,8.78,
0.33,-0.79,8.74,
0.28,-0.81,8.89,
